ecosystem_type,data_type,year,var,group,old_var,value,units
lake,underwater_par,1988,uw_par,FRX,FRX UwPAR,,µmol photons/m2/s
lake,underwater_par,1988,uw_par,HOR,HOR UwPAR,,µmol photons/m2/s
lake,underwater_par,1988,uw_par,ELB,ELB UwPAR,,µmol photons/m2/s
lake,underwater_par,1988,uw_par,WLB,WLB UwPAR,,µmol photons/m2/s
lake,underwater_par,1989,uw_par,FRX,FRX UwPAR,,µmol photons/m2/s
lake,underwater_par,1989,uw_par,HOR,HOR UwPAR,,µmol photons/m2/s
lake,underwater_par,1989,uw_par,ELB,ELB UwPAR,,µmol photons/m2/s
lake,underwater_par,1989,uw_par,WLB,WLB UwPAR,,µmol photons/m2/s
lake,underwater_par,1990,uw_par,FRX,FRX UwPAR,,µmol photons/m2/s
lake,underwater_par,1990,uw_par,HOR,HOR UwPAR,,µmol photons/m2/s
lake,underwater_par,1990,uw_par,ELB,ELB UwPAR,,µmol photons/m2/s
